Country,PM2.5,GDPdelta
AFG,56.9108,2.6470
AGO,32.3885,-0.1472
ALB,18.2006,3.8022
AND,10.3076,0.3461
ARB,58.6893,0.8208
ARE,40.9175,2.3735
ARG,13.3118,2.8185
ARM,32.5281,7.5000
ASM,12.4738,-5.8544
ATG,18.6223,3.1455
AUS,8.5503,2.3006
AUT,12.4780,2.3996
AZE,19.9287,0.1536
BDI,38.8963,0.5000
BEL,12.8865,1.6081
BEN,39.0000,5.6716
BFA,42.9356,6.2035
BGD,60.8458,7.2842
BGR,19.1491,3.5028
BHR,70.8162,4.2909
BHS,17.3677,3.1156
BIH,27.7477,3.1714
BLR,18.7656,2.5322
BLZ,23.0119,1.8702
BMU,11.6464,3.6114
BOL,21.5690,4.1952
BRA,12.7066,1.3229
BRB,23.0802,0.4751
BRN,5.9031,1.3286
BTN,37.9265,4.6518
BWA,23.0944,2.9040
CAF,56.8285,4.5273
CAN,6.4284,3.1707
CEB,17.6333,4.8931
CHE,10.3031,1.7994
CHL,21.0363,1.1886
CHN,52.6646,6.9472
CIV,25.8863,7.3596
CMR,72.7931,3.5491
COD,44.9093,3.7269
COG,46.6382,-4.6331
COL,16.5272,1.3594
COM,20.5468,3.8157
CPV,34.7787,3.7020
CRI,15.7259,3.8602
CSS,19.0098,0.5171
CUB,19.7060,1.8091
CYP,17.2944,5.1548
CZE,16.0712,5.1687
DEU,12.0288,2.6020
DJI,45.5496,5.4031
DMA,19.4932,-6.7994
DNK,10.0297,2.8217
DOM,13.7263,4.6667
DZA,38.8840,1.3000
EAP,42.5395,6.6359
EAR,60.3687,4.7021
EAS,39.7506,4.7572
ECA,24.9394,3.9791
ECS,18.0836,2.8203
ECU,14.8861,2.3684
EGY,86.9995,4.1812
EMU,12.5251,2.5780
ESP,9.6979,2.9736
EST,6.7321,5.4992
ETH,38.9787,9.5642
EUU,13.4661,2.7892
FCS,51.6019,1.7787
FIN,5.8613,3.2702
FJI,10.8402,5.3536
FRA,11.8150,2.2914
FSM,11.2834,2.6822
GAB,44.3855,0.4726
GBR,10.4727,1.8921
GEO,22.1961,4.8426
GHA,34.7135,8.1434
GIN,26.0625,10.2999
GMB,33.9826,4.8226
GNB,29.7747,5.9192
GNQ,53.2406,-5.6675
GRC,16.2183,1.5051
GRD,22.7227,4.4427
GRL,11.6022,0.4685
GTM,24.0706,3.0234
GUM,11.6344,0.2498
GUY,22.3756,3.7345
HIC,14.6816,2.4384
HND,20.6289,4.8429
HPC,40.6850,4.6854
HRV,17.9018,3.4392
HTI,15.0198,2.2861
HUN,15.9260,4.3168
IBD,52.0215,4.9653
IBT,51.1762,4.9079
IDA,48.6613,4.0934
IDB,57.1610,2.7154
IDN,16.5027,5.0698
IDX,44.3366,5.4411
IND,90.8732,7.0438
IRL,8.2086,8.1453
IRN,38.9788,3.7552
IRQ,61.6362,-2.4946
ISL,6.4811,4.5460
ISR,21.3811,3.5367
ITA,16.7507,1.6679
JAM,13.4042,1.0034
JOR,33.0061,2.0871
JPN,11.7048,2.1683
KAZ,13.8243,4.1000
KEN,28.5784,4.8057
KGZ,22.7378,4.7399
KHM,25.6143,6.8291
KIR,10.6409,0.8915
KOR,25.0394,3.1596
KWT,60.7452,-4.7121
LAC,16.6809,1.8885
LAO,25.1095,6.8925
LBN,30.6211,0.8507
LBR,17.9841,2.4686
LBY,54.2547,26.6809
LCA,22.4008,3.4888
LCN,16.7084,1.7924
LDC,45.2687,4.5860
LIC,42.8282,3.7101
LKA,11.0996,3.5782
LMC,67.8048,5.4683
LMY,51.4997,4.9316
LSO,28.0287,-1.3217
LTE,40.0084,4.8664
LTU,11.8533,4.2826
LUX,10.3646,1.8012
LVA,13.4265,3.2507
MAR,32.5935,4.2489
MDA,16.2510,4.6908
MDG,22.5423,3.9333
MDV,7.7958,7.2105
MEA,55.6693,1.5544
