Country,PM2.5,GDPdelta
AFG,56.9108,1
AGO,32.3885,0
ALB,18.2006,1
AND,10.3076,1
ARB,58.6893,1
ARE,40.9175,1
ARG,13.3118,1
ARM,32.5281,1
ASM,12.4738,0
ATG,18.6223,1
AUS,8.5503,1
AUT,12.4780,1
AZE,19.9287,1
BDI,38.8963,1
BEL,12.8865,1
BEN,39.0000,1
BFA,42.9356,1
BGD,60.8458,1
BGR,19.1491,1
BHR,70.8162,1
BHS,17.3677,1
BIH,27.7477,1
BLR,18.7656,1
BLZ,23.0119,1
BMU,11.6464,1
BOL,21.5690,1
BRA,12.7066,1
BRB,23.0802,1
BRN,5.9031,1
BTN,37.9265,1
BWA,23.0944,1
CAF,56.8285,1
CAN,6.4284,1
CEB,17.6333,1
CHE,10.3031,1
CHL,21.0363,1
CHN,52.6646,1
CIV,25.8863,1
CMR,72.7931,1
COD,44.9093,1
COG,46.6382,0
COL,16.5272,1
COM,20.5468,1
CPV,34.7787,1
CRI,15.7259,1
CSS,19.0098,1
CUB,19.7060,1
CYP,17.2944,1
CZE,16.0712,1
DEU,12.0288,1
DJI,45.5496,1
DMA,19.4932,0
DNK,10.0297,1
DOM,13.7263,1
DZA,38.8840,1
EAP,42.5395,1
EAR,60.3687,1
EAS,39.7506,1
ECA,24.9394,1
ECS,18.0836,1
ECU,14.8861,1
EGY,86.9995,1
EMU,12.5251,1
ESP,9.6979,1
EST,6.7321,1
ETH,38.9787,1
EUU,13.4661,1
FCS,51.6019,1
FIN,5.8613,1
FJI,10.8402,1
FRA,11.8150,1
FSM,11.2834,1
GAB,44.3855,1
GBR,10.4727,1
GEO,22.1961,1
GHA,34.7135,1
GIN,26.0625,1
GMB,33.9826,1
GNB,29.7747,1
GNQ,53.2406,0
GRC,16.2183,1
GRD,22.7227,1
GRL,11.6022,1
GTM,24.0706,1
GUM,11.6344,1
GUY,22.3756,1
HIC,14.6816,1
HND,20.6289,1
HPC,40.6850,1
HRV,17.9018,1
HTI,15.0198,1
HUN,15.9260,1
IBD,52.0215,1
IBT,51.1762,1
IDA,48.6613,1
IDB,57.1610,1
IDN,16.5027,1
IDX,44.3366,1
IND,90.8732,1
IRL,8.2086,1
IRN,38.9788,1
IRQ,61.6362,0
ISL,6.4811,1
ISR,21.3811,1
ITA,16.7507,1
JAM,13.4042,1
JOR,33.0061,1
JPN,11.7048,1
KAZ,13.8243,1
KEN,28.5784,1
KGZ,22.7378,1
KHM,25.6143,1
KIR,10.6409,1
KOR,25.0394,1
KWT,60.7452,0
LAC,16.6809,1
LAO,25.1095,1
LBN,30.6211,1
LBR,17.9841,1
LBY,54.2547,1
LCA,22.4008,1
LCN,16.7084,1
LDC,45.2687,1
LIC,42.8282,1
LKA,11.0996,1
LMC,67.8048,1
LMY,51.4997,1
LSO,28.0287,0
LTE,40.0084,1
LTU,11.8533,1
LUX,10.3646,1
LVA,13.4265,1
MAR,32.5935,1
MDA,16.2510,1
MDG,22.5423,1
MDV,7.7958,1
MEA,55.6693,1
MEX,20.9211,1
MHL,10.2413,1
MIC,52.4692,1
MKD,29.7269,1
MLI,38.5266,1
MLT,13.9095,1
MMR,35.5575,1
MNA,53.8578,1
MNE,20.7818,1
MNG,40.1128,1
MNP,9.8930,1
MOZ,21.2987,1
MRT,47.4230,1
MUS,14.4578,1
MWI,23.5659,1
MYS,16.0358,1
NAC,7.3110,1
NAM,25.3588,0
NER,94.0538,1
NGA,71.7982,1
NIC,17.6142,1
NLD,12.0344,1
NOR,6.9565,1
NPL,99.7344,1
NZL,5.9560,1
OED,14.5310,1
OMN,41.1152,1
OSS,34.7544,1
PAK,58.2824,1
PAN,11.4001,1
PER,24.7867,1
PHL,18.0698,1
PNG,12.2944,1
POL,20.8778,1
PRE,48.6379,1
PRI,8.3490,0
PRT,8.1608,1
PRY,11.9091,1
PSE,33.2256,1
PSS,11.2676,1
PST,11.5931,1
QAT,91.1873,0
ROU,14.6113,1
RUS,16.1602,1
RWA,43.2102,1
SAS,82.8695,1
SAU,87.9454,0
SDN,55.3708,1
SEN,40.6958,1
SGP,19.0783,1
SLB,11.8791,1
SLE,21.6259,1
SLV,24.4723,1
SRB,24.7264,1
SSA,44.6408,1
SSF,44.6021,1
SST,30.4722,1
STP,28.5396,1
SUR,24.7800,1
SVK,17.5629,1
SVN,16.0240,1
SWE,6.1847,1
SWZ,17.1688,1
SYC,20.1786,1
TCD,66.0292,0
TEA,42.6714,1
TEC,24.0924,1
TGO,35.7313,1
THA,26.2567,1
TJK,46.1522,1
TKM,21.7677,1
TLA,16.6962,1
TLS,19.2572,0
TMN,54.1048,1
TON,10.7855,1
TSA,82.8695,1
TSS,44.6021,1
TTO,24.1086,0
TUN,37.6560,1
TUR,44.3115,1
TZA,29.0766,1
UGA,50.4943,1
UKR,20.3098,1
UMC,37.0492,1
URY,9.2749,1
USA,7.4094,1
UZB,28.4559,1
VCT,22.2005,1
VIR,10.2653,0
VNM,29.6267,1
VUT,11.6528,1
WLD,45.5284,1
WSM,11.5480,1
YEM,50.4560,0
ZAF,25.1022,1
ZMB,27.4380,1
ZWE,22.2517,1
